"Tweet Id^Tweet text^Company^timestamp^*^*^Text Blob^*^Vader^*^*^*^Clips pattern"
"*^*^*^GMT^EST^IST^polarity^subjectivity^neg^neu^pos^compound^polarity^subjectivity"
"1076997389779640000^cymulate and symantec join hands for shared research on email-based attacks security^symantec^2018-12-24 00:26:02^2018-12-23 13:56:02^2018-12-24 00:26:02^0.0^0.0^0.162^0.447^0.391^0.4767^0.0^0.0"
"1077052808027880000^symantec finland: norton security % off + online back up symantec finland^symantec^2018-12-24 04:06:14^2018-12-23 17:36:14^2018-12-24 04:06:14^0.0^0.0^0.0^0.789^0.211^0.34^0.0^0.0"
"1077131636985210000^failure to replace symantec certificates leads to website outages may result in reputational damage thats why'^symantec^2018-12-24 09:19:29^2018-12-23 22:49:29^2018-12-24 09:19:29^-0.317^0.3^0.317^0.683^0.0^-0.7579^-0.317^0.3"
"1077141877068100000^data in transit will be one of main objectives of hackers next year according symantec infographic^symantec^2018-12-24 10:00:10^2018-12-23 23:30:10^2018-12-24 10:00:10^0.083^0.167^0.0^1.0^0.0^0.0^0.083^0.167"
"1077142254215520000^rt : data in transit will be one of main objectives of hackers next year according symantec infographic infosec^symantec^2018-12-24 10:01:40^2018-12-23 23:31:40^2018-12-24 10:01:40^0.083^0.167^0.0^1.0^0.0^0.0^0.083^0.167"
"1077230533581590000^top top cyber security predictions for symantec trendmicro mcafee eset^symantec^2018-12-24 15:52:27^2018-12-24 05:22:27^2018-12-24 15:52:27^0.5^0.5^0.0^0.538^0.462^0.6124^0.5^0.5"
"1078379677486580000^rt : google upset with symantec over false securitycertificates via^symantec^2018-12-27 19:58:45^2018-12-27 09:28:45^2018-12-27 19:58:45^-0.4^0.6^0.245^0.755^0.0^-0.3818^-0.4^0.6"
"1078380758987870000^rt : google upset with symantec over false securitycertificates via^symantec^2018-12-27 20:03:02^2018-12-27 09:33:02^2018-12-27 20:03:02^-0.4^0.6^0.245^0.755^0.0^-0.3818^-0.4^0.6"
"1078383741762980000^rt : google upset with symantec over false securitycertificates via^symantec^2018-12-27 20:14:54^2018-12-27 09:44:54^2018-12-27 20:14:54^-0.4^0.6^0.245^0.755^0.0^-0.3818^-0.4^0.6"
"1078384227937410000^rt : google upset with symantec over false securitycertificates via^symantec^2018-12-27 20:16:50^2018-12-27 09:46:50^2018-12-27 20:16:50^-0.4^0.6^0.245^0.755^0.0^-0.3818^-0.4^0.6"
"1078384714271120000^rt : google upset with symantec over false securitycertificates via^symantec^2018-12-27 20:18:45^2018-12-27 09:48:45^2018-12-27 20:18:45^-0.4^0.6^0.245^0.755^0.0^-0.3818^-0.4^0.6"
"1078387039568090000^rt : google upset with symantec over false securitycertificates via^symantec^2018-12-27 20:28:00^2018-12-27 09:58:00^2018-12-27 20:28:00^-0.4^0.6^0.245^0.755^0.0^-0.3818^-0.4^0.6"
"1078388837041290000^rt : google upset with symantec over false securitycertificates via^symantec^2018-12-27 20:35:08^2018-12-27 10:05:08^2018-12-27 20:35:08^-0.4^0.6^0.245^0.755^0.0^-0.3818^-0.4^0.6"
"1078389801685070000^rt : google upset with symantec over false securitycertificates via^symantec^2018-12-27 20:38:58^2018-12-27 10:08:58^2018-12-27 20:38:58^-0.4^0.6^0.245^0.755^0.0^-0.3818^-0.4^0.6"
"1078393056997580000^rt : google upset with symantec over false securitycertificates via^symantec^2018-12-27 20:51:55^2018-12-27 10:21:55^2018-12-27 20:51:55^-0.4^0.6^0.245^0.755^0.0^-0.3818^-0.4^0.6"
"1078402650050310000^rt : google upset with symantec over false securitycertificates via^symantec^2018-12-27 21:30:02^2018-12-27 11:00:02^2018-12-27 21:30:02^-0.4^0.6^0.245^0.755^0.0^-0.3818^-0.4^0.6"
"1078404122267820000^rt : google upset with symantec over false securitycertificates via^symantec^2018-12-27 21:35:53^2018-12-27 11:05:53^2018-12-27 21:35:53^-0.4^0.6^0.245^0.755^0.0^-0.3818^-0.4^0.6"
"1078408429658690000^rt : google upset with symantec over false securitycertificates via^symantec^2018-12-27 21:53:00^2018-12-27 11:23:00^2018-12-27 21:53:00^-0.4^0.6^0.245^0.755^0.0^-0.3818^-0.4^0.6"
"1078418738951740000^rt : the most interesting and important hacks of symantec trendmicro mcafee eset exabeam ueb^symantec^2018-12-27 22:33:58^2018-12-27 12:03:58^2018-12-27 22:33:58^0.467^0.667^0.0^0.704^0.296^0.6195^0.467^0.667"
"1078454351105010000^rt : google upset with symantec over false securitycertificates via^symantec^2018-12-28 00:55:28^2018-12-27 14:25:28^2018-12-28 00:55:28^-0.4^0.6^0.245^0.755^0.0^-0.3818^-0.4^0.6"
"1078624141333440000^your business (big or small) needs a security strategy liz deakin explains here lithify^symantec^2018-12-28 12:10:09^2018-12-28 01:40:09^2018-12-28 12:10:09^-0.125^0.25^0.0^0.833^0.167^0.34^-0.125^0.25"
"1078624148006550000^your business (big or small) needs a security strategy liz deakin explains here lithify^symantec^2018-12-28 12:10:11^2018-12-28 01:40:11^2018-12-28 12:10:11^-0.125^0.25^0.0^0.833^0.167^0.34^-0.125^0.25"
"1078624529033770000^rt : your business (big or small) needs a security strategy liz deakin explains here lithify checkpo^symantec^2018-12-28 12:11:42^2018-12-28 01:41:42^2018-12-28 12:11:42^-0.125^0.25^0.0^0.854^0.146^0.34^-0.125^0.25"
"1078675775967020000^your data was probably stolen in cyberattack in - and you should care symantec^symantec^2018-12-28 15:35:20^2018-12-28 05:05:20^2018-12-28 15:35:20^0.0^0.0^0.184^0.632^0.184^0.0^0.0^0.0"
"1078677011369910000^a list of the biggest data leaks symantec trendmicro mcafee eset exabeam ueba^symantec^2018-12-28 15:40:15^2018-12-28 05:10:15^2018-12-28 15:40:15^0.0^0.0^0.0^1.0^0.0^0.0^0.0^0.0"
"1078677359153200000^rt : a list of the biggest data leaks symantec trendmicro mcafee eset exabeam ueba splunk^symantec^2018-12-28 15:41:37^2018-12-28 05:11:37^2018-12-28 15:41:37^0.0^0.0^0.0^1.0^0.0^0.0^0.0^0.0"
"1078679032911160000^security think tank: focus on malicious use of ai in symantec trendmicro mcafee^symantec^2018-12-28 15:48:16^2018-12-28 05:18:16^2018-12-28 15:48:16^0.0^0.0^0.0^0.833^0.167^0.34^0.0^0.0"
"1078679891220910000^rt : security think tank: focus on malicious use of ai in symantec trendmicro mcafee eset exab^symantec^2018-12-28 15:51:41^2018-12-28 05:21:41^2018-12-28 15:51:41^0.0^0.0^0.0^0.862^0.138^0.34^0.0^0.0"
"1078688825117830000^rt : security think tank: focus on malicious use of ai in symantec trendmicro mcafee eset exab^symantec^2018-12-28 16:27:11^2018-12-28 05:57:11^2018-12-28 16:27:11^0.0^0.0^0.0^0.862^0.138^0.34^0.0^0.0"
"1078762463070280000^rt : symantec buys lifelock^symantec^2018-12-28 21:19:48^2018-12-28 10:49:48^2018-12-28 21:19:48^0.0^0.0^0.0^1.0^0.0^0.0^0.0^0.0"
"1078765115476970000^symantec shamoon: destructive threat re-emerges with new sting in its tail^symantec^2018-12-28 21:30:20^2018-12-28 11:00:20^2018-12-28 21:30:20^-0.232^0.527^0.451^0.549^0.0^-0.8126^-0.232^0.527"
"1078834014377720000^rt : google upset with symantec over false securitycertificates via^symantec^2018-12-29 02:04:07^2018-12-28 15:34:07^2018-12-29 02:04:07^-0.4^0.6^0.245^0.755^0.0^-0.3818^-0.4^0.6"
"1078844171115550000^cyber security market report by key players -: honeywell intel security symantec ibm^symantec^2018-12-29 02:44:29^2018-12-28 16:14:29^2018-12-29 02:44:29^0.0^1.0^0.0^0.696^0.304^0.5859^0.0^1.0"
"1078850387245970000^rt : google upset with symantec over false securitycertificates via^symantec^2018-12-29 03:09:11^2018-12-28 16:39:11^2018-12-29 03:09:11^-0.4^0.6^0.245^0.755^0.0^-0.3818^-0.4^0.6"
"1078913521134560000^rt : google upset with symantec over false securitycertificates via^symantec^2018-12-29 07:20:03^2018-12-28 20:50:03^2018-12-29 07:20:03^-0.4^0.6^0.245^0.755^0.0^-0.3818^-0.4^0.6"
"1078922734573360000^rt : google upset with symantec over false securitycertificates via^symantec^2018-12-29 07:56:39^2018-12-28 21:26:39^2018-12-29 07:56:39^-0.4^0.6^0.245^0.755^0.0^-0.3818^-0.4^0.6"
"1078923799058370000^li rt sec_cyber cyber security market report by key players -: honeywell intel s^symantec^2018-12-29 08:00:53^2018-12-28 21:30:53^2018-12-29 08:00:53^0.0^1.0^0.0^0.833^0.167^0.34^0.0^1.0"
"1078935884467100000^rt : your business (big or small) needs a security strategy liz deakin explains here lithify checkpo^symantec^2018-12-29 08:48:55^2018-12-28 22:18:55^2018-12-29 08:48:55^-0.125^0.25^0.0^0.854^0.146^0.34^-0.125^0.25"
"1078936530121500000^rt : your business (big or small) needs a security strategy liz deakin explains here lithify checkpo^symantec^2018-12-29 08:51:29^2018-12-28 22:21:29^2018-12-29 08:51:29^-0.125^0.25^0.0^0.854^0.146^0.34^-0.125^0.25"
"1078944661882960000^rt : your business (big or small) needs a security strategy liz deakin explains here lithify checkpo^symantec^2018-12-29 09:23:47^2018-12-28 22:53:47^2018-12-29 09:23:47^-0.125^0.25^0.0^0.854^0.146^0.34^-0.125^0.25"
"1078949907195700000^rt : google upset with symantec over false securitycertificates via^symantec^2018-12-29 09:44:38^2018-12-28 23:14:38^2018-12-29 09:44:38^-0.4^0.6^0.245^0.755^0.0^-0.3818^-0.4^0.6"
"1078971412344460000^rt : google upset with symantec over false securitycertificates via^symantec^2018-12-29 11:10:05^2018-12-29 00:40:05^2018-12-29 11:10:05^-0.4^0.6^0.245^0.755^0.0^-0.3818^-0.4^0.6"
"1078973641268880000^rt : google upset with symantec over false securitycertificates via^symantec^2018-12-29 11:18:57^2018-12-29 00:48:57^2018-12-29 11:18:57^-0.4^0.6^0.245^0.755^0.0^-0.3818^-0.4^0.6"
"1078983600911990000^rt : google upset with symantec over false securitycertificates via^symantec^2018-12-29 11:58:31^2018-12-29 01:28:31^2018-12-29 11:58:31^-0.4^0.6^0.245^0.755^0.0^-0.3818^-0.4^0.6"
"1079032672406700000^rt : google upset with symantec over false securitycertificates via^symantec^2018-12-29 15:13:31^2018-12-29 04:43:31^2018-12-29 15:13:31^-0.4^0.6^0.245^0.755^0.0^-0.3818^-0.4^0.6"
"1079032894910220000^rt : sometimes its just easier to try and do things through user education because it costs lessbut then how much does a'^symantec^2018-12-29 15:14:24^2018-12-29 04:44:24^2018-12-29 15:14:24^0.2^0.2^0.0^0.882^0.118^0.4215^0.2^0.2"
"1079032948471390000^rt : email is part of your company supply chainyou just need to do everything you can to wrap it up and keep it safe an^symantec^2018-12-29 15:14:37^2018-12-29 04:44:37^2018-12-29 15:14:37^0.5^0.5^0.0^0.892^0.108^0.4404^0.5^0.5"
"1079053630869820000^rt : google upset with symantec over false securitycertificates via^symantec^2018-12-29 16:36:48^2018-12-29 06:06:48^2018-12-29 16:36:48^-0.4^0.6^0.245^0.755^0.0^-0.3818^-0.4^0.6"
"1079062538703240000^rt : google upset with symantec over false securitycertificates via^symantec^2018-12-29 17:12:11^2018-12-29 06:42:11^2018-12-29 17:12:11^-0.4^0.6^0.245^0.755^0.0^-0.3818^-0.4^0.6"
"1079090659154360000^rt : google upset with symantec over false securitycertificates via^symantec^2018-12-29 19:03:56^2018-12-29 08:33:56^2018-12-29 19:03:56^-0.4^0.6^0.245^0.755^0.0^-0.3818^-0.4^0.6"
"1079097992546840000^rt : google upset with symantec over false securitycertificates via^symantec^2018-12-29 19:33:04^2018-12-29 09:03:04^2018-12-29 19:33:04^-0.4^0.6^0.245^0.755^0.0^-0.3818^-0.4^0.6"
"1079105831176680000^rt : google upset with symantec over false securitycertificates via^symantec^2018-12-29 20:04:13^2018-12-29 09:34:13^2018-12-29 20:04:13^-0.4^0.6^0.245^0.755^0.0^-0.3818^-0.4^0.6"
"1079106026455070000^rt : google upset with symantec over false securitycertificates via^symantec^2018-12-29 20:05:00^2018-12-29 09:35:00^2018-12-29 20:05:00^-0.4^0.6^0.245^0.755^0.0^-0.3818^-0.4^0.6"
"1079114475221830000^tech predictions destined to come true in symantec trendmicro mcafee eset^symantec^2018-12-29 20:38:34^2018-12-29 10:08:34^2018-12-29 20:38:34^0.35^0.65^0.0^0.781^0.219^0.4215^0.35^0.65"
"1079115003926590000^rt : tech predictions destined to come true in symantec trendmicro mcafee eset exabeam ue^symantec^2018-12-29 20:40:40^2018-12-29 10:10:40^2018-12-29 20:40:40^0.35^0.65^0.0^0.823^0.177^0.4215^0.35^0.65"
"1079115249041560000^rt : tech predictions destined to come true in symantec trendmicro mcafee eset exabeam ue^symantec^2018-12-29 20:41:39^2018-12-29 10:11:39^2018-12-29 20:41:39^0.35^0.65^0.0^0.823^0.177^0.4215^0.35^0.65"
"1079115768199950000^consumer privacy made losers of us all this year symantec trendmicro mcafee eset^symantec^2018-12-29 20:43:42^2018-12-29 10:13:42^2018-12-29 20:43:42^-0.2^0.2^0.221^0.779^0.0^-0.5267^-0.2^0.2"
"1079116795448030000^rt : google upset with symantec over false securitycertificates via^symantec^2018-12-29 20:47:47^2018-12-29 10:17:47^2018-12-29 20:47:47^-0.4^0.6^0.245^0.755^0.0^-0.3818^-0.4^0.6"
"1079117765338750000^rt : consumer privacy made losers of us all this year symantec trendmicro mcafee eset exabeam s^symantec^2018-12-29 20:51:38^2018-12-29 10:21:38^2018-12-29 20:51:38^-0.2^0.2^0.195^0.805^0.0^-0.5267^-0.2^0.2"
"1079121402073170000^rt : web cloud vps dedicated ssd hosting email security ssl certificate symantec comodo cwatch unlimited bandwidth s^symantec^2018-12-29 21:06:06^2018-12-29 10:36:06^2018-12-29 21:06:06^0.0^0.0^0.0^0.722^0.278^0.6597^0.0^0.0"
"1079127437475280000^symantec shamoon: destructive threat re-emerges with new sting in its tail^symantec^2018-12-29 21:30:04^2018-12-29 11:00:04^2018-12-29 21:30:04^-0.232^0.527^0.451^0.549^0.0^-0.8126^-0.232^0.527"
"1079129312207480000^rt : google upset with symantec over false securitycertificates via^symantec^2018-12-29 21:37:31^2018-12-29 11:07:31^2018-12-29 21:37:31^-0.4^0.6^0.245^0.755^0.0^-0.3818^-0.4^0.6"
"1079202200642040000^rt : google upset with symantec over false securitycertificates via^symantec^2018-12-30 02:27:09^2018-12-29 15:57:09^2018-12-30 02:27:09^-0.4^0.6^0.245^0.755^0.0^-0.3818^-0.4^0.6"
"1079210283623760000^rt : google upset with symantec over false securitycertificates via^symantec^2018-12-30 02:59:17^2018-12-29 16:29:17^2018-12-30 02:59:17^-0.4^0.6^0.245^0.755^0.0^-0.3818^-0.4^0.6"
"1079221282674260000^securing your office with deloitte cyber consulting powered by symantec you are still accountable for protec^symantec^2018-12-30 03:42:59^2018-12-29 17:12:59^2018-12-30 03:42:59^0.0^0.0^0.0^0.867^0.133^0.3182^0.0^0.0"
"1079231542659030000^rt : google upset with symantec over false securitycertificates via^symantec^2018-12-30 04:23:45^2018-12-29 17:53:45^2018-12-30 04:23:45^-0.4^0.6^0.245^0.755^0.0^-0.3818^-0.4^0.6"
"1079232415200100000^rt : google upset with symantec over false securitycertificates via^symantec^2018-12-30 04:27:13^2018-12-29 17:57:13^2018-12-30 04:27:13^-0.4^0.6^0.245^0.755^0.0^-0.3818^-0.4^0.6"
"1079241312660930000^newspapers report suspected malware attack symantec trendmicro mcafee eset^symantec^2018-12-30 05:02:34^2018-12-29 18:32:34^2018-12-30 05:02:34^0.0^0.0^0.417^0.583^0.0^-0.6124^0.0^0.0"
"1079242189622800000^: a record-breaking year for crypto exchange hacks symantec trendmicro mcafee^symantec^2018-12-30 05:06:04^2018-12-29 18:36:04^2018-12-30 05:06:04^0.0^0.0^0.0^1.0^0.0^0.0^0.0^0.0"
"1079243601807170000^rt : : a record-breaking year for crypto exchange hacks symantec trendmicro mcafee eset exab^symantec^2018-12-30 05:11:40^2018-12-29 18:41:40^2018-12-30 05:11:40^0.0^0.0^0.0^1.0^0.0^0.0^0.0^0.0"
"1079243606710300000^rt : newspapers report suspected malware attack symantec trendmicro mcafee eset exabeam ueba s^symantec^2018-12-30 05:11:41^2018-12-29 18:41:41^2018-12-30 05:11:41^0.0^0.0^0.333^0.667^0.0^-0.6124^0.0^0.0"
"1079298104355090000^rt : google upset with symantec over false securitycertificates via^symantec^2018-12-30 08:48:15^2018-12-29 22:18:15^2018-12-30 08:48:15^-0.4^0.6^0.245^0.755^0.0^-0.3818^-0.4^0.6"
"1079304873986770000^rt : google upset with symantec over false securitycertificates via^symantec^2018-12-30 09:15:09^2018-12-29 22:45:09^2018-12-30 09:15:09^-0.4^0.6^0.245^0.755^0.0^-0.3818^-0.4^0.6"
"1079310621101960000^rt : newspapers report suspected malware attack symantec trendmicro mcafee eset exabeam ueba s^symantec^2018-12-30 09:37:59^2018-12-29 23:07:59^2018-12-30 09:37:59^0.0^0.0^0.333^0.667^0.0^-0.6124^0.0^0.0"
"1079321048749880000^poorly conceived security privacy rules could create new vulnerabilities: symantec^symantec^2018-12-30 10:19:25^2018-12-29 23:49:25^2018-12-30 10:19:25^-0.132^0.527^0.122^0.534^0.344^0.4404^-0.132^0.527"
"1079321571486060000^rt : google upset with symantec over false securitycertificates via^symantec^2018-12-30 10:21:30^2018-12-29 23:51:30^2018-12-30 10:21:30^-0.4^0.6^0.245^0.755^0.0^-0.3818^-0.4^0.6"
"1079328518528480000^rt : poorly conceived security privacy rules could create new vulnerabilities: symantec^symantec^2018-12-30 10:49:06^2018-12-30 00:19:06^2018-12-30 10:49:06^-0.132^0.527^0.113^0.567^0.319^0.4404^-0.132^0.527"
"1079332545135810000^poorly conceived security privacy rules could create new vulnerabilities: symantec^symantec^2018-12-30 11:05:06^2018-12-30 00:35:06^2018-12-30 11:05:06^-0.132^0.527^0.122^0.534^0.344^0.4404^-0.132^0.527"
"1079336504646950000^rt : google upset with symantec over false securitycertificates via^symantec^2018-12-30 11:20:50^2018-12-30 00:50:50^2018-12-30 11:20:50^-0.4^0.6^0.245^0.755^0.0^-0.3818^-0.4^0.6"
"1079354540795850000^rt : secure your online transaction with symantec secure site ssl certificate white heavy check mark green pad-lock white heavy check mark bit encryption level white heavy check mark sa^symantec^2018-12-30 12:32:30^2018-12-30 02:02:30^2018-12-30 12:32:30^0.0^0.333^0.0^0.849^0.151^0.5859^0.0^0.333"
"1079362065079450000^rt : google upset with symantec over false securitycertificates via^symantec^2018-12-30 13:02:24^2018-12-30 02:32:24^2018-12-30 13:02:24^-0.4^0.6^0.245^0.755^0.0^-0.3818^-0.4^0.6"
"1079375519320160000^rt : google upset with symantec over false securitycertificates via^symantec^2018-12-30 13:55:52^2018-12-30 03:25:52^2018-12-30 13:55:52^-0.4^0.6^0.245^0.755^0.0^-0.3818^-0.4^0.6"
"1079379699669840000^rt : newspapers report suspected malware attack symantec trendmicro mcafee eset exabeam ueba s^symantec^2018-12-30 14:12:28^2018-12-30 03:42:28^2018-12-30 14:12:28^0.0^0.0^0.333^0.667^0.0^-0.6124^0.0^0.0"
"1079383440066330000^rt : poorly conceived security privacy rules could create new vulnerabilities: symantec^symantec^2018-12-30 14:27:20^2018-12-30 03:57:20^2018-12-30 14:27:20^-0.132^0.527^0.113^0.567^0.319^0.4404^-0.132^0.527"
"1079402252148880000^rt : google upset with symantec over false securitycertificates via^symantec^2018-12-30 15:42:05^2018-12-30 05:12:05^2018-12-30 15:42:05^-0.4^0.6^0.245^0.755^0.0^-0.3818^-0.4^0.6"
"1079410085162550000^rt : google upset with symantec over false securitycertificates via^symantec^2018-12-30 16:13:13^2018-12-30 05:43:13^2018-12-30 16:13:13^-0.4^0.6^0.245^0.755^0.0^-0.3818^-0.4^0.6"
"1079466093150900000^the gradian-symantec future continues to look bright thanks to torjus gylstorff for being such a gracious host!^symantec^2018-12-30 19:55:46^2018-12-30 09:25:46^2018-12-30 19:55:46^0.225^0.406^0.0^0.573^0.427^0.8655^0.225^0.406"
"1079470941141430000^rt : : a record-breaking year for crypto exchange hacks symantec trendmicro mcafee eset exab^symantec^2018-12-30 20:15:02^2018-12-30 09:45:02^2018-12-30 20:15:02^0.0^0.0^0.0^1.0^0.0^0.0^0.0^0.0"
"1079475049839710000^rt : google upset with symantec over false securitycertificates via^symantec^2018-12-30 20:31:22^2018-12-30 10:01:22^2018-12-30 20:31:22^-0.4^0.6^0.245^0.755^0.0^-0.3818^-0.4^0.6"
"1079485741229630000^rt : google upset with symantec over false securitycertificates via^symantec^2018-12-30 21:13:51^2018-12-30 10:43:51^2018-12-30 21:13:51^-0.4^0.6^0.245^0.755^0.0^-0.3818^-0.4^0.6"
"1079487725919620000^rt : : a record-breaking year for crypto exchange hacks symantec trendmicro mcafee eset exab^symantec^2018-12-30 21:21:44^2018-12-30 10:51:44^2018-12-30 21:21:44^0.0^0.0^0.0^1.0^0.0^0.0^0.0^0.0"
"1079588445025150000^rt : google upset with symantec over false securitycertificates via^symantec^2018-12-31 04:01:57^2018-12-30 17:31:57^2018-12-31 04:01:57^-0.4^0.6^0.245^0.755^0.0^-0.3818^-0.4^0.6"
"1079599902278230000^rt : google upset with symantec over false securitycertificates via^symantec^2018-12-31 04:47:29^2018-12-30 18:17:29^2018-12-31 04:47:29^-0.4^0.6^0.245^0.755^0.0^-0.3818^-0.4^0.6"
"1079627998352020000^poorly conceived security privacy rules could create new vulnerabilities: symantec^symantec^2018-12-31 06:39:07^2018-12-30 20:09:07^2018-12-31 06:39:07^-0.132^0.527^0.122^0.534^0.344^0.4404^-0.132^0.527"
"1079635715875570000^rt : google upset with symantec over false securitycertificates via^symantec^2018-12-31 07:09:47^2018-12-30 20:39:47^2018-12-31 07:09:47^-0.4^0.6^0.245^0.755^0.0^-0.3818^-0.4^0.6"
"1079645073732700000^rt : we are fortunate to have founders who have worked in fortune companies in siliconvalley usa likes of apple symantec^symantec^2018-12-31 07:46:59^2018-12-30 21:16:59^2018-12-31 07:46:59^0.4^0.7^0.0^0.759^0.241^0.6908^0.4^0.7"
"1079645426402370000^rt : want to know who is behind dnos coworking! we are fortunate to have founders who have worked in fortune companies in sili^symantec^2018-12-31 07:48:23^2018-12-30 21:18:23^2018-12-31 07:48:23^-0.05^0.7^0.0^0.824^0.176^0.5411^-0.05^0.7"
"1079648487569040000^rt : we are fortunate to have founders who have worked in fortune companies in siliconvalley usa likes of apple symantec^symantec^2018-12-31 08:00:32^2018-12-30 21:30:32^2018-12-31 08:00:32^0.4^0.7^0.0^0.759^0.241^0.6908^0.4^0.7"
"1079648775868690000^rt : want to know who is behind dnos coworking! we are fortunate to have founders who have worked in fortune companies in sili^symantec^2018-12-31 08:01:41^2018-12-30 21:31:41^2018-12-31 08:01:41^-0.05^0.7^0.0^0.824^0.176^0.5411^-0.05^0.7"
"1079649808774770000^rt : google upset with symantec over false securitycertificates via^symantec^2018-12-31 08:05:47^2018-12-30 21:35:47^2018-12-31 08:05:47^-0.4^0.6^0.245^0.755^0.0^-0.3818^-0.4^0.6"
"1079651067736910000^symantec: poorly designed security data protection rules can create new vulnerabilities vulnerability^symantec^2018-12-31 08:10:48^2018-12-30 21:40:48^2018-12-31 08:10:48^-0.132^0.527^0.219^0.5^0.281^0.25^-0.132^0.527"
"1079651297626910000^rt : symantec: poorly designed security data protection rules can create new vulnerabilities vulnerability symantec^symantec^2018-12-31 08:11:42^2018-12-30 21:41:42^2018-12-31 08:11:42^-0.132^0.527^0.194^0.556^0.25^0.25^-0.132^0.527"
"1079654233790730000^backup exec : backupscriptdetail is null! and now what? recently an error message backupscriptdetail is null h^symantec^2018-12-31 08:23:22^2018-12-30 21:53:22^2018-12-31 08:23:22^0.0^0.25^0.176^0.824^0.0^-0.4574^0.0^0.25"
"1079655202607680000^here is the opinion of s md about the security and privacy regulations and if not framed properly it ca'^symantec^2018-12-31 08:27:13^2018-12-30 21:57:13^2018-12-31 08:27:13^0.0^0.1^0.0^0.882^0.118^0.34^0.0^0.1"
"1079663878550760000^rt : google upset with symantec over false securitycertificates via^symantec^2018-12-31 09:01:42^2018-12-30 22:31:42^2018-12-31 09:01:42^-0.4^0.6^0.245^0.755^0.0^-0.3818^-0.4^0.6"
"1079675120799700000^rt : google upset with symantec over false securitycertificates via^symantec^2018-12-31 09:46:22^2018-12-30 23:16:22^2018-12-31 09:46:22^-0.4^0.6^0.245^0.755^0.0^-0.3818^-0.4^0.6"
"1079675777564560000^rt : google upset with symantec over false securitycertificates via^symantec^2018-12-31 09:48:59^2018-12-30 23:18:59^2018-12-31 09:48:59^-0.4^0.6^0.245^0.755^0.0^-0.3818^-0.4^0.6"
"1079694257328410000^rt : google upset with symantec over false securitycertificates via^symantec^2018-12-31 11:02:25^2018-12-31 00:32:25^2018-12-31 11:02:25^-0.4^0.6^0.245^0.755^0.0^-0.3818^-0.4^0.6"
"1079705386825990000^failure to replace symantec certificates leads to website outages may result in reputational damage thats why'^symantec^2018-12-31 11:46:38^2018-12-31 01:16:38^2018-12-31 11:46:38^-0.317^0.3^0.317^0.683^0.0^-0.7579^-0.317^0.3"
"1079736433349410000^rt : google upset with symantec over false securitycertificates via^symantec^2018-12-31 13:50:00^2018-12-31 03:20:00^2018-12-31 13:50:00^-0.4^0.6^0.245^0.755^0.0^-0.3818^-0.4^0.6"
"1079774085238920000^rt : google upset with symantec over false securitycertificates via^symantec^2018-12-31 16:19:37^2018-12-31 05:49:37^2018-12-31 16:19:37^-0.4^0.6^0.245^0.755^0.0^-0.3818^-0.4^0.6"
"1079781673397510000^rt : google upset with symantec over false securitycertificates via^symantec^2018-12-31 16:49:46^2018-12-31 06:19:46^2018-12-31 16:49:46^-0.4^0.6^0.245^0.755^0.0^-0.3818^-0.4^0.6"
"1080023272756890000^rt : google upset with symantec over false securitycertificates via^symantec^2019-01-01 08:49:48^2018-12-31 22:19:48^2019-01-01 08:49:48^-0.4^0.6^0.245^0.755^0.0^-0.3818^-0.4^0.6"
"1080139416029480000^learning from cybersecurity incidents: perform due diligence symantec mcafee eset^symantec^2019-01-01 16:31:19^2019-01-01 06:01:19^2019-01-01 16:31:19^-0.125^0.375^0.0^1.0^0.0^0.0^-0.125^0.375"
"1080139498489400000^rt : learning from cybersecurity incidents: perform due diligence symantec mcafee eset exabeam^symantec^2019-01-01 16:31:39^2019-01-01 06:01:39^2019-01-01 16:31:39^-0.125^0.375^0.0^1.0^0.0^0.0^-0.125^0.375"
"1080140404119320000^these apps send data to facebook without you knowing it symantec mcafee eset exabeam^symantec^2019-01-01 16:35:15^2019-01-01 06:05:15^2019-01-01 16:35:15^0.0^0.0^0.0^1.0^0.0^0.0^0.0^0.0"
"1080142073863360000^rt : these apps send data to facebook without you knowing it symantec mcafee eset exabeam splunk^symantec^2019-01-01 16:41:53^2019-01-01 06:11:53^2019-01-01 16:41:53^0.0^0.0^0.0^1.0^0.0^0.0^0.0^0.0"
"1080148400408930000^what is ryuk the malware believed to have hit the los angeles times? symantec trendmicro^symantec^2019-01-01 17:07:01^2019-01-01 06:37:01^2019-01-01 17:07:01^0.0^0.0^0.0^1.0^0.0^0.0^0.0^0.0"
"1080149627301550000^rt : what is ryuk the malware believed to have hit the los angeles times? symantec trendmicro mcafee^symantec^2019-01-01 17:11:54^2019-01-01 06:41:54^2019-01-01 17:11:54^0.0^0.0^0.0^1.0^0.0^0.0^0.0^0.0"
"1080304489440160000^rt : white right pointing backhand index comment below for gb web hosting details information downwards black arrow ? downwards black arrow ? domain hosting ssl certificate security symantec comodo^symantec^2019-01-02 03:27:16^2019-01-01 16:57:16^2019-01-02 03:27:16^-0.012^0.351^0.0^0.904^0.096^0.4137^-0.012^0.351"
"1080325264503120000^rt : web cloud vps dedicated ssd hosting email security ssl certificate symantec comodo cwatch unlimited bandwidth s^symantec^2019-01-02 04:49:49^2019-01-01 18:19:49^2019-01-02 04:49:49^0.0^0.0^0.0^0.722^0.278^0.6597^0.0^0.0"
